hour,transaction_count,fraud_count,total_amount,avg_amount,avg_ip_risk,fraud_rate,hour_of_day,day_of_week,is_weekend
2022-01-02 15:00:00,30,0,3905.14,130.17,15.79,0.0,15,6,1
2022-01-02 16:00:00,37,0,6889.72,186.21,20.46,0.0,16,6,1
2022-01-02 17:00:00,40,1,6854.74,171.37,20.05,0.025,17,6,1
2022-01-02 18:00:00,35,1,4369.61,124.85,20.83,0.028571,18,6,1
2022-01-02 19:00:00,39,1,6724.76,172.43,21.21,0.025641,19,6,1
2022-01-02 20:00:00,26,0,4567.91,175.69,24.97,0.0,20,6,1
2022-01-02 21:00:00,31,3,6533.71,210.76,17.19,0.096774,21,6,1
2022-01-02 22:00:00,26,0,5033.54,193.6,29.36,0.0,22,6,1
2022-01-02 23:00:00,38,1,5688.94,149.71,24.99,0.026316,23,6,1
2022-01-03 00:00:00,30,1,7560.01,252.0,21.24,0.033333,0,0,0
2022-01-03 01:00:00,34,0,5899.03,173.5,20.91,0.0,1,0,0
2022-01-03 02:00:00,37,0,7874.03,212.81,15.59,0.0,2,0,0
2022-01-03 03:00:00,42,2,5986.98,142.55,27.04,0.047619,3,0,0
2022-01-03 04:00:00,35,2,7920.91,226.31,20.86,0.057143,4,0,0
2022-01-03 05:00:00,38,0,4393.4,115.62,18.56,0.0,5,0,0
2022-01-03 06:00:00,38,0,8128.73,213.91,22.52,0.0,6,0,0
2022-01-03 07:00:00,43,1,8366.69,194.57,27.64,0.023256,7,0,0
2022-01-03 08:00:00,42,0,6422.41,152.91,19.88,0.0,8,0,0
2022-01-03 09:00:00,38,2,5968.41,157.06,18.6,0.052632,9,0,0
2022-01-03 10:00:00,38,1,5863.53,154.3,22.77,0.026316,10,0,0
2022-01-03 11:00:00,31,0,6128.52,197.69,18.33,0.0,11,0,0
2022-01-03 12:00:00,34,1,3888.49,114.37,24.2,0.029412,12,0,0
2022-01-03 13:00:00,45,1,9068.67,201.53,22.5,0.022222,13,0,0
2022-01-03 14:00:00,31,1,4403.16,142.04,21.54,0.032258,14,0,0
2022-01-03 15:00:00,40,0,7428.15,185.7,22.61,0.0,15,0,0
2022-01-03 16:00:00,64,1,10289.31,160.77,22.16,0.015625,16,0,0
2022-01-03 17:00:00,33,1,4727.81,143.27,28.66,0.030303,17,0,0
2022-01-03 18:00:00,39,0,8923.37,228.8,24.52,0.0,18,0,0
2022-01-03 19:00:00,33,0,4795.5,145.32,17.23,0.0,19,0,0
2022-01-03 20:00:00,44,2,9141.27,207.76,22.75,0.045455,20,0,0
2022-01-03 21:00:00,26,1,4239.17,163.05,23.98,0.038462,21,0,0
2022-01-03 22:00:00,35,3,12033.69,343.82,23.83,0.085714,22,0,0
2022-01-03 23:00:00,32,1,3715.26,116.1,20.42,0.03125,23,0,0
2022-01-04 00:00:00,43,0,6876.49,159.92,22.56,0.0,0,1,0
2022-01-04 01:00:00,34,1,5588.09,164.36,26.26,0.029412,1,1,0
2022-01-04 02:00:00,30,1,4021.92,134.06,21.7,0.033333,2,1,0
2022-01-04 03:00:00,45,0,7559.08,167.98,19.53,0.0,3,1,0
2022-01-04 04:00:00,39,2,4074.71,104.48,24.12,0.051282,4,1,0
2022-01-04 05:00:00,38,1,4877.88,128.37,21.19,0.026316,5,1,0
2022-01-04 06:00:00,50,0,10356.16,207.12,15.48,0.0,6,1,0
2022-01-04 07:00:00,34,0,6126.15,180.18,18.53,0.0,7,1,0
2022-01-04 08:00:00,46,2,7814.77,169.89,20.89,0.043478,8,1,0
2022-01-04 09:00:00,30,0,3861.16,128.71,20.14,0.0,9,1,0
2022-01-04 10:00:00,39,1,6293.61,161.37,24.15,0.025641,10,1,0
2022-01-04 11:00:00,28,0,3088.73,110.31,22.41,0.0,11,1,0
2022-01-04 12:00:00,40,0,7462.72,186.57,19.26,0.0,12,1,0
2022-01-04 13:00:00,43,0,5033.08,117.05,22.68,0.0,13,1,0
2022-01-04 14:00:00,37,1,4802.02,129.78,28.32,0.027027,14,1,0
2022-01-04 15:00:00,38,0,6075.97,159.89,19.31,0.0,15,1,0
2022-01-04 16:00:00,46,1,9399.12,204.33,16.89,0.021739,16,1,0
2022-01-04 17:00:00,37,0,6624.08,179.03,18.36,0.0,17,1,0
2022-01-04 18:00:00,41,0,9076.97,221.39,20.12,0.0,18,1,0
2022-01-04 19:00:00,35,1,4848.04,138.52,23.37,0.028571,19,1,0
2022-01-04 20:00:00,33,1,4775.2,144.7,23.31,0.030303,20,1,0
2022-01-04 21:00:00,41,0,7082.69,172.75,15.3,0.0,21,1,0
2022-01-04 22:00:00,45,1,7251.05,161.13,20.87,0.022222,22,1,0
2022-01-04 23:00:00,39,2,8171.11,209.52,21.3,0.051282,23,1,0
2022-01-05 00:00:00,35,0,5606.78,160.19,24.81,0.0,0,2,0
2022-01-05 01:00:00,29,2,6290.33,216.91,25.76,0.068966,1,2,0
2022-01-05 02:00:00,34,0,4346.33,127.83,25.74,0.0,2,2,0
2022-01-05 03:00:00,37,0,6714.26,181.47,20.25,0.0,3,2,0
2022-01-05 04:00:00,45,0,9308.18,206.85,18.89,0.0,4,2,0
2022-01-05 05:00:00,39,2,11743.24,301.11,23.55,0.051282,5,2,0
2022-01-05 06:00:00,37,0,8013.62,216.58,25.55,0.0,6,2,0
2022-01-05 07:00:00,36,0,5874.11,163.17,24.36,0.0,7,2,0
2022-01-05 08:00:00,37,1,6124.17,165.52,25.76,0.027027,8,2,0
2022-01-05 09:00:00,39,0,4434.52,113.71,19.56,0.0,9,2,0
2022-01-05 10:00:00,41,1,7244.67,176.7,27.01,0.02439,10,2,0
2022-01-05 11:00:00,41,0,9933.26,242.27,21.92,0.0,11,2,0
2022-01-05 12:00:00,41,1,5755.06,140.37,16.4,0.02439,12,2,0
2022-01-05 13:00:00,41,0,4950.29,120.74,19.32,0.0,13,2,0
2022-01-05 14:00:00,30,0,6295.83,209.86,19.96,0.0,14,2,0
2022-01-05 15:00:00,35,1,8730.21,249.43,22.87,0.028571,15,2,0
2022-01-05 16:00:00,37,0,5066.92,136.94,20.19,0.0,16,2,0
2022-01-05 17:00:00,43,1,5627.63,130.88,21.3,0.023256,17,2,0
2022-01-05 18:00:00,42,2,9568.39,227.82,19.7,0.047619,18,2,0
2022-01-05 19:00:00,48,2,8313.46,173.2,19.52,0.041667,19,2,0
2022-01-05 20:00:00,35,1,6197.92,177.08,20.63,0.028571,20,2,0
2022-01-05 21:00:00,35,1,5673.0,162.09,28.29,0.028571,21,2,0
2022-01-05 22:00:00,34,1,7048.7,207.31,20.23,0.029412,22,2,0
2022-01-05 23:00:00,33,0,7625.59,231.08,14.45,0.0,23,2,0
2022-01-06 00:00:00,33,1,6568.55,199.05,14.01,0.030303,0,3,0
2022-01-06 01:00:00,31,1,3316.41,106.98,22.94,0.032258,1,3,0
2022-01-06 02:00:00,42,0,9228.05,219.72,19.97,0.0,2,3,0
2022-01-06 03:00:00,45,2,8097.41,179.94,25.12,0.044444,3,3,0
2022-01-06 04:00:00,41,1,6990.29,170.49,20.06,0.02439,4,3,0
2022-01-06 05:00:00,44,2,6593.16,149.84,23.52,0.045455,5,3,0
2022-01-06 06:00:00,38,0,7316.36,192.54,20.41,0.0,6,3,0
2022-01-06 07:00:00,34,1,9621.86,283.0,24.62,0.029412,7,3,0
2022-01-06 08:00:00,28,0,5075.28,181.26,21.43,0.0,8,3,0
2022-01-06 09:00:00,36,2,8365.68,232.38,24.94,0.055556,9,3,0
2022-01-06 10:00:00,36,0,7867.95,218.55,21.49,0.0,10,3,0
2022-01-06 11:00:00,42,0,10449.05,248.79,20.31,0.0,11,3,0
2022-01-06 12:00:00,34,2,5570.46,163.84,26.46,0.058824,12,3,0
2022-01-06 13:00:00,46,2,8253.8,179.43,20.43,0.043478,13,3,0
2022-01-06 14:00:00,43,2,9311.08,216.54,25.43,0.046512,14,3,0
2022-01-06 15:00:00,34,0,5216.71,153.43,23.77,0.0,15,3,0
2022-01-06 16:00:00,36,1,6797.81,188.83,20.23,0.027778,16,3,0
2022-01-06 17:00:00,36,0,3955.19,109.87,21.29,0.0,17,3,0
2022-01-06 18:00:00,31,0,6278.49,202.53,25.27,0.0,18,3,0
2022-01-06 19:00:00,47,1,5964.45,126.9,22.06,0.021277,19,3,0
2022-01-06 20:00:00,31,0,5026.95,162.16,17.52,0.0,20,3,0
2022-01-06 21:00:00,31,0,4573.98,147.55,22.87,0.0,21,3,0
2022-01-06 22:00:00,49,0,6670.46,136.13,21.43,0.0,22,3,0
2022-01-06 23:00:00,50,3,10481.96,209.64,24.99,0.06,23,3,0
2022-01-07 00:00:00,42,1,5022.15,119.57,19.93,0.02381,0,4,0
2022-01-07 01:00:00,41,0,4319.22,105.35,24.3,0.0,1,4,0
2022-01-07 02:00:00,43,1,6527.61,151.8,15.74,0.023256,2,4,0
2022-01-07 03:00:00,37,3,6777.2,183.17,23.16,0.081081,3,4,0
2022-01-07 04:00:00,41,3,12947.33,315.79,25.09,0.073171,4,4,0
2022-01-07 05:00:00,40,1,7100.85,177.52,22.66,0.025,5,4,0
2022-01-07 06:00:00,36,0,6015.01,167.08,21.83,0.0,6,4,0
2022-01-07 07:00:00,34,0,7049.91,207.35,19.62,0.0,7,4,0
2022-01-07 08:00:00,37,1,3972.67,107.37,25.17,0.027027,8,4,0
2022-01-07 09:00:00,43,0,7356.21,171.07,25.11,0.0,9,4,0
2022-01-07 10:00:00,39,1,6523.2,167.26,20.85,0.025641,10,4,0
2022-01-07 11:00:00,30,0,7252.98,241.77,20.76,0.0,11,4,0
2022-01-07 12:00:00,50,1,11543.7,230.87,22.36,0.02,12,4,0
2022-01-07 13:00:00,43,0,6703.1,155.89,19.01,0.0,13,4,0
2022-01-07 14:00:00,42,0,6562.1,156.24,17.45,0.0,14,4,0
2022-01-07 15:00:00,38,1,6918.07,182.05,23.01,0.026316,15,4,0
2022-01-07 16:00:00,32,0,6647.23,207.73,19.49,0.0,16,4,0
2022-01-07 17:00:00,43,0,8510.5,197.92,17.06,0.0,17,4,0
2022-01-07 18:00:00,33,2,11092.04,336.12,24.56,0.060606,18,4,0
2022-01-07 19:00:00,34,0,3736.32,109.89,22.34,0.0,19,4,0
2022-01-07 20:00:00,37,0,8120.27,219.47,19.74,0.0,20,4,0
2022-01-07 21:00:00,34,0,6652.13,195.65,16.78,0.0,21,4,0
2022-01-07 22:00:00,39,3,8288.38,212.52,24.75,0.076923,22,4,0
2022-01-07 23:00:00,32,1,4531.03,141.59,21.86,0.03125,23,4,0
2022-01-08 00:00:00,38,1,7112.27,187.16,22.8,0.026316,0,5,1
2022-01-08 01:00:00,41,1,6389.06,155.83,23.22,0.02439,1,5,1
2022-01-08 02:00:00,41,1,9615.08,234.51,22.81,0.02439,2,5,1
2022-01-08 03:00:00,34,1,8528.73,250.84,25.71,0.029412,3,5,1
2022-01-08 04:00:00,29,0,2499.17,86.18,21.72,0.0,4,5,1
2022-01-08 05:00:00,34,0,5820.03,171.18,24.92,0.0,5,5,1
2022-01-08 06:00:00,46,2,6264.8,136.19,22.97,0.043478,6,5,1
2022-01-08 07:00:00,31,0,6137.73,197.99,22.24,0.0,7,5,1
2022-01-08 08:00:00,43,0,5449.27,126.73,21.28,0.0,8,5,1
2022-01-08 09:00:00,34,0,8462.09,248.88,22.99,0.0,9,5,1
2022-01-08 10:00:00,43,1,8042.4,187.03,23.73,0.023256,10,5,1
2022-01-08 11:00:00,37,0,5857.92,158.32,19.66,0.0,11,5,1
2022-01-08 12:00:00,46,0,7472.56,162.45,18.69,0.0,12,5,1
2022-01-08 13:00:00,34,1,7047.05,207.27,20.3,0.029412,13,5,1
2022-01-08 14:00:00,43,1,6432.33,149.59,22.24,0.023256,14,5,1
2022-01-08 15:00:00,26,0,2741.55,105.44,16.37,0.0,15,5,1
2022-01-08 16:00:00,40,1,4854.01,121.35,20.84,0.025,16,5,1
2022-01-08 17:00:00,33,0,5558.27,168.43,21.07,0.0,17,5,1
2022-01-08 18:00:00,43,1,5949.51,138.36,25.53,0.023256,18,5,1
2022-01-08 19:00:00,42,1,7013.18,166.98,23.58,0.02381,19,5,1
2022-01-08 20:00:00,29,0,4648.12,160.28,22.24,0.0,20,5,1
2022-01-08 21:00:00,37,0,5217.35,141.01,21.86,0.0,21,5,1
2022-01-08 22:00:00,48,0,8687.14,180.98,20.33,0.0,22,5,1
2022-01-08 23:00:00,27,0,4675.1,173.15,19.86,0.0,23,5,1
2022-01-09 00:00:00,42,0,6445.7,153.47,18.46,0.0,0,6,1
2022-01-09 01:00:00,57,1,9013.12,158.12,25.01,0.017544,1,6,1
2022-01-09 02:00:00,31,1,3702.89,119.45,20.92,0.032258,2,6,1
2022-01-09 03:00:00,47,1,6178.75,131.46,21.82,0.021277,3,6,1
2022-01-09 04:00:00,29,1,3956.9,136.44,24.18,0.034483,4,6,1
2022-01-09 05:00:00,35,0,6727.3,192.21,25.14,0.0,5,6,1
2022-01-09 06:00:00,30,1,10871.86,362.4,21.44,0.033333,6,6,1
2022-01-09 07:00:00,42,2,14597.81,347.57,20.82,0.047619,7,6,1
2022-01-09 08:00:00,37,0,7724.76,208.78,21.13,0.0,8,6,1
2022-01-09 09:00:00,37,0,5471.7,147.88,17.74,0.0,9,6,1
2022-01-09 10:00:00,41,1,7665.29,186.96,19.39,0.02439,10,6,1
2022-01-09 11:00:00,32,1,4894.16,152.94,23.18,0.03125,11,6,1
2022-01-09 12:00:00,33,0,7708.79,233.6,18.8,0.0,12,6,1
2022-01-09 13:00:00,43,0,8292.49,192.85,21.2,0.0,13,6,1
2022-01-09 14:00:00,43,1,8114.96,188.72,21.0,0.023256,14,6,1
2022-01-09 15:00:00,32,1,5101.13,159.41,22.25,0.03125,15,6,1
2022-01-09 16:00:00,38,0,6018.12,158.37,22.58,0.0,16,6,1
2022-01-09 17:00:00,35,0,5187.13,148.2,22.68,0.0,17,6,1
2022-01-09 18:00:00,32,0,5784.46,180.76,17.11,0.0,18,6,1
2022-01-09 19:00:00,40,0,9268.72,231.72,23.26,0.0,19,6,1
2022-01-09 20:00:00,36,0,8736.32,242.68,19.06,0.0,20,6,1
2022-01-09 21:00:00,34,0,3920.94,115.32,20.24,0.0,21,6,1
2022-01-09 22:00:00,42,1,7680.87,182.88,22.98,0.02381,22,6,1
2022-01-09 23:00:00,44,0,6194.96,140.79,20.2,0.0,23,6,1
2022-01-10 00:00:00,42,1,14123.69,336.28,22.81,0.02381,0,0,0
2022-01-10 01:00:00,41,1,7417.1,180.9,18.34,0.02439,1,0,0
2022-01-10 02:00:00,37,3,4646.8,125.59,22.7,0.081081,2,0,0
2022-01-10 03:00:00,37,1,7384.74,199.59,18.01,0.027027,3,0,0
2022-01-10 04:00:00,33,0,4154.96,125.91,21.25,0.0,4,0,0
2022-01-10 05:00:00,27,0,6383.55,236.43,20.12,0.0,5,0,0
2022-01-10 06:00:00,43,1,7614.59,177.08,23.7,0.023256,6,0,0
2022-01-10 07:00:00,38,2,8465.98,222.79,24.92,0.052632,7,0,0
2022-01-10 08:00:00,50,2,9396.48,187.93,20.29,0.04,8,0,0
2022-01-10 09:00:00,45,0,9418.38,209.3,25.16,0.0,9,0,0
2022-01-10 10:00:00,27,0,8428.31,312.16,20.02,0.0,10,0,0
2022-01-10 11:00:00,38,1,10593.79,278.78,18.68,0.026316,11,0,0
2022-01-10 12:00:00,44,0,12675.53,288.08,22.81,0.0,12,0,0
2022-01-10 13:00:00,33,1,7577.09,229.61,23.02,0.030303,13,0,0
2022-01-10 14:00:00,31,1,6279.17,202.55,25.71,0.032258,14,0,0
2022-01-10 15:00:00,39,0,6529.43,167.42,20.49,0.0,15,0,0
2022-01-10 16:00:00,39,0,6620.36,169.75,19.67,0.0,16,0,0
2022-01-10 17:00:00,49,1,6321.12,129.0,22.0,0.020408,17,0,0
2022-01-10 18:00:00,41,0,8039.71,196.09,17.62,0.0,18,0,0
2022-01-10 19:00:00,33,3,11685.43,354.1,18.0,0.090909,19,0,0
2022-01-10 20:00:00,40,1,7813.22,195.33,18.59,0.025,20,0,0
2022-01-10 21:00:00,35,1,7194.65,205.56,18.44,0.028571,21,0,0
2022-01-10 22:00:00,41,0,8470.09,206.59,20.6,0.0,22,0,0
2022-01-10 23:00:00,35,0,4988.83,142.54,21.84,0.0,23,0,0
2022-01-11 00:00:00,42,2,16880.72,401.92,22.04,0.047619,0,1,0
2022-01-11 01:00:00,43,1,6205.66,144.32,23.93,0.023256,1,1,0
2022-01-11 02:00:00,58,2,11366.93,195.98,20.65,0.034483,2,1,0
2022-01-11 03:00:00,51,1,7124.41,139.69,23.34,0.019608,3,1,0
2022-01-11 04:00:00,32,3,12053.33,376.67,24.96,0.09375,4,1,0
2022-01-11 05:00:00,38,3,10117.62,266.25,23.16,0.078947,5,1,0
2022-01-11 06:00:00,28,0,5489.37,196.05,22.78,0.0,6,1,0
2022-01-11 07:00:00,38,1,6234.31,164.06,22.46,0.026316,7,1,0
2022-01-11 08:00:00,40,1,5542.36,138.56,20.35,0.025,8,1,0
2022-01-11 09:00:00,31,1,5929.77,191.28,18.83,0.032258,9,1,0
2022-01-11 10:00:00,26,0,4839.53,186.14,23.09,0.0,10,1,0
2022-01-11 11:00:00,37,1,6563.18,177.38,24.74,0.027027,11,1,0
2022-01-11 12:00:00,40,0,5381.96,134.55,19.75,0.0,12,1,0
2022-01-11 13:00:00,54,0,10440.89,193.35,23.57,0.0,13,1,0
2022-01-11 14:00:00,51,0,9599.29,188.22,20.99,0.0,14,1,0
2022-01-11 15:00:00,31,0,6039.4,194.82,19.45,0.0,15,1,0
2022-01-11 16:00:00,37,0,6213.13,167.92,17.85,0.0,16,1,0
2022-01-11 17:00:00,44,1,12247.97,278.36,21.88,0.022727,17,1,0
2022-01-11 18:00:00,49,0,6282.47,128.21,19.31,0.0,18,1,0
2022-01-11 19:00:00,34,1,8212.65,241.55,21.86,0.029412,19,1,0
2022-01-11 20:00:00,37,1,5904.98,159.59,22.67,0.027027,20,1,0
2022-01-11 21:00:00,31,0,6603.09,213.0,20.55,0.0,21,1,0
2022-01-11 22:00:00,31,2,8095.12,261.13,24.08,0.064516,22,1,0
2022-01-11 23:00:00,45,2,9946.59,221.04,19.71,0.044444,23,1,0
2022-01-12 00:00:00,40,0,7308.58,182.71,16.79,0.0,0,2,0
2022-01-12 01:00:00,29,0,3589.52,123.78,25.44,0.0,1,2,0
2022-01-12 02:00:00,37,1,8294.13,224.17,16.89,0.027027,2,2,0
2022-01-12 03:00:00,48,0,11047.86,230.16,20.01,0.0,3,2,0
2022-01-12 04:00:00,43,1,8079.24,187.89,21.26,0.023256,4,2,0
2022-01-12 05:00:00,46,2,7618.23,165.61,26.66,0.043478,5,2,0
2022-01-12 06:00:00,32,0,4863.08,151.97,23.46,0.0,6,2,0
2022-01-12 07:00:00,29,0,4816.12,166.07,21.45,0.0,7,2,0
2022-01-12 08:00:00,45,0,8332.38,185.16,20.97,0.0,8,2,0
2022-01-12 09:00:00,38,3,14275.51,375.67,21.46,0.078947,9,2,0
2022-01-12 10:00:00,36,0,6099.97,169.44,19.98,0.0,10,2,0
2022-01-12 11:00:00,38,0,5589.97,147.1,20.64,0.0,11,2,0
2022-01-12 12:00:00,39,0,7998.28,205.08,20.83,0.0,12,2,0
2022-01-12 13:00:00,35,0,3681.24,105.18,19.57,0.0,13,2,0
2022-01-12 14:00:00,44,0,6693.76,152.13,22.23,0.0,14,2,0
2022-01-12 15:00:00,34,0,6563.78,193.05,17.78,0.0,15,2,0
2022-01-12 16:00:00,34,1,4781.41,140.63,19.71,0.029412,16,2,0
2022-01-12 17:00:00,40,0,4933.7,123.34,18.6,0.0,17,2,0
2022-01-12 18:00:00,51,1,10688.77,209.58,24.09,0.019608,18,2,0
2022-01-12 19:00:00,31,0,7279.7,234.83,22.2,0.0,19,2,0
2022-01-12 20:00:00,42,0,7253.23,172.7,23.15,0.0,20,2,0
2022-01-12 21:00:00,33,0,3441.01,104.27,20.94,0.0,21,2,0
2022-01-12 22:00:00,47,2,10070.57,214.27,20.26,0.042553,22,2,0
2022-01-12 23:00:00,41,0,6551.62,159.8,20.24,0.0,23,2,0
2022-01-13 00:00:00,25,2,7106.63,284.27,21.89,0.08,0,3,0
2022-01-13 01:00:00,28,0,3585.43,128.05,25.26,0.0,1,3,0
2022-01-13 02:00:00,40,3,8147.81,203.7,29.01,0.075,2,3,0
2022-01-13 03:00:00,55,2,9252.0,168.22,23.82,0.036364,3,3,0
2022-01-13 04:00:00,35,0,7464.15,213.26,21.98,0.0,4,3,0
2022-01-13 05:00:00,24,0,6218.86,259.12,22.61,0.0,5,3,0
2022-01-13 06:00:00,44,0,8535.91,194.0,20.04,0.0,6,3,0
2022-01-13 07:00:00,30,0,3537.46,117.92,21.14,0.0,7,3,0
2022-01-13 08:00:00,30,0,6013.28,200.44,21.65,0.0,8,3,0
2022-01-13 09:00:00,45,0,8266.66,183.7,22.01,0.0,9,3,0
2022-01-13 10:00:00,39,1,10087.96,258.67,19.96,0.025641,10,3,0
2022-01-13 11:00:00,42,2,10669.2,254.03,16.96,0.047619,11,3,0
2022-01-13 12:00:00,33,2,3089.95,93.63,25.9,0.060606,12,3,0
2022-01-13 13:00:00,43,0,7418.13,172.51,22.88,0.0,13,3,0
2022-01-13 14:00:00,46,1,9716.83,211.24,26.58,0.021739,14,3,0
2022-01-13 15:00:00,32,1,10475.02,327.34,27.85,0.03125,15,3,0
2022-01-13 16:00:00,27,0,4829.08,178.85,19.72,0.0,16,3,0
2022-01-13 17:00:00,40,0,7086.49,177.16,20.36,0.0,17,3,0
2022-01-13 18:00:00,30,0,5622.34,187.41,26.69,0.0,18,3,0
2022-01-13 19:00:00,36,1,5321.78,147.83,23.82,0.027778,19,3,0
2022-01-13 20:00:00,23,0,2579.51,112.15,27.56,0.0,20,3,0
2022-01-13 21:00:00,44,1,6060.45,137.74,21.56,0.022727,21,3,0
2022-01-13 22:00:00,45,0,7892.06,175.38,21.45,0.0,22,3,0
2022-01-13 23:00:00,44,0,8999.27,204.53,24.36,0.0,23,3,0
2022-01-14 00:00:00,39,2,11333.73,290.61,25.08,0.051282,0,4,0
2022-01-14 01:00:00,40,1,7862.99,196.57,23.95,0.025,1,4,0
2022-01-14 02:00:00,29,1,4426.97,152.65,16.38,0.034483,2,4,0
2022-01-14 03:00:00,38,0,7071.91,186.1,19.8,0.0,3,4,0
2022-01-14 04:00:00,35,0,7076.84,202.2,20.8,0.0,4,4,0
2022-01-14 05:00:00,29,2,7437.06,256.45,22.66,0.068966,5,4,0
2022-01-14 06:00:00,40,1,5725.64,143.14,28.55,0.025,6,4,0
2022-01-14 07:00:00,40,0,6418.75,160.47,21.78,0.0,7,4,0
2022-01-14 08:00:00,40,2,6657.0,166.42,25.99,0.05,8,4,0
2022-01-14 09:00:00,37,0,6636.73,179.37,20.85,0.0,9,4,0
2022-01-14 10:00:00,36,0,6371.64,176.99,21.41,0.0,10,4,0
2022-01-14 11:00:00,42,1,7173.03,170.79,23.07,0.02381,11,4,0
2022-01-14 12:00:00,30,0,3448.81,114.96,21.32,0.0,12,4,0
2022-01-14 13:00:00,39,0,7769.31,199.21,19.21,0.0,13,4,0
2022-01-14 14:00:00,37,1,7934.54,214.45,24.64,0.027027,14,4,0
2022-01-14 15:00:00,43,1,10050.84,233.74,25.66,0.023256,15,4,0
2022-01-14 16:00:00,32,0,6235.31,194.85,22.36,0.0,16,4,0
2022-01-14 17:00:00,34,1,6718.01,197.59,22.81,0.029412,17,4,0
2022-01-14 18:00:00,43,0,7040.95,163.74,18.13,0.0,18,4,0
2022-01-14 19:00:00,33,0,4824.05,146.18,27.52,0.0,19,4,0
2022-01-14 20:00:00,50,0,6911.77,138.24,21.89,0.0,20,4,0
2022-01-14 21:00:00,41,0,8092.25,197.37,21.87,0.0,21,4,0
2022-01-14 22:00:00,33,0,4941.71,149.75,22.71,0.0,22,4,0
2022-01-14 23:00:00,44,2,8027.36,182.44,22.16,0.045455,23,4,0
2022-01-15 00:00:00,39,2,7647.42,196.09,20.39,0.051282,0,5,1
2022-01-15 01:00:00,50,2,8043.95,160.88,23.8,0.04,1,5,1
2022-01-15 02:00:00,41,0,6891.11,168.08,19.1,0.0,2,5,1
2022-01-15 03:00:00,33,0,4281.32,129.74,24.63,0.0,3,5,1
2022-01-15 04:00:00,32,1,7939.27,248.1,23.86,0.03125,4,5,1
2022-01-15 05:00:00,42,0,6478.06,154.24,20.03,0.0,5,5,1
2022-01-15 06:00:00,35,0,9118.84,260.54,18.89,0.0,6,5,1
