account_a,account_b,shared_type,connection_count,ring_id,both_fraud
ACC0006296,ACC0031968,email_domain,6,RING0004,1
ACC0006296,ACC0002909,ip_address,13,RING0004,1
ACC0006296,ACC0016649,email_domain,5,RING0004,1
ACC0031968,ACC0002909,device_id,10,RING0004,1
ACC0031968,ACC0016649,device_id,6,RING0004,1
ACC0002909,ACC0016649,device_id,7,RING0004,1
ACC0026256,ACC0022701,email_domain,6,RING0005,1
ACC0026256,ACC0049728,ip_address,10,RING0005,1
ACC0026256,ACC0024158,device_id,13,RING0005,1
ACC0026256,ACC0003464,ip_address,12,RING0005,1
ACC0026256,ACC0017346,ip_address,8,RING0005,1
ACC0026256,ACC0046051,email_domain,11,RING0005,1
ACC0026256,ACC0048931,ip_address,5,RING0005,1
ACC0026256,ACC0021389,email_domain,4,RING0005,1
ACC0022701,ACC0049728,device_id,10,RING0005,1
ACC0022701,ACC0024158,device_id,4,RING0005,1
ACC0022701,ACC0003464,email_domain,7,RING0005,1
ACC0022701,ACC0017346,email_domain,8,RING0005,1
ACC0022701,ACC0046051,phone,9,RING0005,1
ACC0022701,ACC0048931,device_id,6,RING0005,1
ACC0022701,ACC0021389,email_domain,4,RING0005,1
ACC0049728,ACC0024158,email_domain,14,RING0005,1
ACC0049728,ACC0003464,device_id,7,RING0005,1
ACC0049728,ACC0017346,phone,8,RING0005,1
ACC0049728,ACC0046051,email_domain,2,RING0005,1
ACC0049728,ACC0048931,ip_address,6,RING0005,1
ACC0049728,ACC0021389,device_id,13,RING0005,1
ACC0024158,ACC0003464,device_id,14,RING0005,1
ACC0024158,ACC0017346,phone,5,RING0005,1
ACC0024158,ACC0046051,device_id,9,RING0005,1
ACC0024158,ACC0048931,email_domain,10,RING0005,1
ACC0024158,ACC0021389,email_domain,2,RING0005,1
ACC0003464,ACC0017346,ip_address,6,RING0005,1
ACC0003464,ACC0046051,ip_address,3,RING0005,1
ACC0003464,ACC0048931,ip_address,6,RING0005,1
ACC0003464,ACC0021389,ip_address,14,RING0005,1
ACC0017346,ACC0046051,email_domain,14,RING0005,1
ACC0017346,ACC0048931,device_id,8,RING0005,1
ACC0017346,ACC0021389,email_domain,14,RING0005,1
ACC0046051,ACC0048931,ip_address,8,RING0005,1
ACC0046051,ACC0021389,ip_address,2,RING0005,1
ACC0048931,ACC0021389,device_id,5,RING0005,1
ACC0006312,ACC0025807,email_domain,12,RING0006,1
ACC0006312,ACC0018404,phone,5,RING0006,1
ACC0025807,ACC0018404,ip_address,2,RING0006,1
ACC0035280,ACC0029634,device_id,10,RING0007,1
ACC0035280,ACC0033827,email_domain,12,RING0007,1
ACC0035280,ACC0034780,phone,14,RING0007,1
ACC0035280,ACC0006390,device_id,3,RING0007,1
ACC0035280,ACC0003718,phone,8,RING0007,1
ACC0035280,ACC0004782,phone,14,RING0007,1
ACC0035280,ACC0000784,device_id,11,RING0007,1
ACC0035280,ACC0013221,device_id,5,RING0007,1
ACC0035280,ACC0001409,phone,12,RING0007,1
ACC0029634,ACC0033827,email_domain,13,RING0007,1
ACC0029634,ACC0034780,email_domain,12,RING0007,1
ACC0029634,ACC0006390,email_domain,13,RING0007,1
ACC0029634,ACC0003718,phone,10,RING0007,1
ACC0029634,ACC0004782,email_domain,8,RING0007,1
ACC0029634,ACC0000784,phone,11,RING0007,1
ACC0029634,ACC0013221,phone,8,RING0007,1
ACC0029634,ACC0001409,device_id,5,RING0007,1
ACC0033827,ACC0034780,phone,4,RING0007,1
ACC0033827,ACC0006390,email_domain,2,RING0007,1
ACC0033827,ACC0003718,email_domain,12,RING0007,1
ACC0033827,ACC0004782,device_id,10,RING0007,1
ACC0033827,ACC0000784,phone,12,RING0007,1
ACC0033827,ACC0013221,email_domain,5,RING0007,1
ACC0033827,ACC0001409,phone,12,RING0007,1
ACC0034780,ACC0006390,device_id,7,RING0007,1
ACC0034780,ACC0003718,email_domain,4,RING0007,1
ACC0034780,ACC0004782,email_domain,13,RING0007,1
ACC0034780,ACC0000784,ip_address,2,RING0007,1
ACC0034780,ACC0013221,device_id,7,RING0007,1
ACC0034780,ACC0001409,ip_address,11,RING0007,1
ACC0006390,ACC0003718,phone,5,RING0007,1
ACC0006390,ACC0004782,ip_address,9,RING0007,1
ACC0006390,ACC0000784,phone,14,RING0007,1
ACC0006390,ACC0013221,phone,8,RING0007,1
ACC0006390,ACC0001409,phone,2,RING0007,1
ACC0003718,ACC0004782,device_id,5,RING0007,1
ACC0003718,ACC0000784,device_id,10,RING0007,1
ACC0003718,ACC0013221,phone,7,RING0007,1
ACC0003718,ACC0001409,email_domain,5,RING0007,1
ACC0004782,ACC0000784,device_id,13,RING0007,1
ACC0004782,ACC0013221,email_domain,5,RING0007,1
ACC0004782,ACC0001409,email_domain,4,RING0007,1
ACC0000784,ACC0013221,phone,9,RING0007,1
ACC0000784,ACC0001409,device_id,4,RING0007,1
ACC0013221,ACC0001409,email_domain,3,RING0007,1
ACC0033247,ACC0019667,email_domain,11,RING0008,1
ACC0033247,ACC0003301,phone,11,RING0008,1
ACC0033247,ACC0010669,phone,9,RING0008,1
ACC0033247,ACC0008135,phone,2,RING0008,1
ACC0033247,ACC0032996,phone,4,RING0008,1
ACC0033247,ACC0028562,phone,11,RING0008,1
ACC0019667,ACC0003301,ip_address,12,RING0008,1
ACC0019667,ACC0010669,ip_address,6,RING0008,1
ACC0019667,ACC0008135,phone,10,RING0008,1
ACC0019667,ACC0032996,ip_address,2,RING0008,1
ACC0019667,ACC0028562,ip_address,14,RING0008,1
ACC0003301,ACC0010669,email_domain,2,RING0008,1
ACC0003301,ACC0008135,ip_address,4,RING0008,1
ACC0003301,ACC0032996,phone,8,RING0008,1
ACC0003301,ACC0028562,email_domain,5,RING0008,1
ACC0010669,ACC0008135,device_id,2,RING0008,1
ACC0010669,ACC0032996,device_id,5,RING0008,1
ACC0010669,ACC0028562,email_domain,2,RING0008,1
ACC0008135,ACC0032996,ip_address,2,RING0008,1
ACC0008135,ACC0028562,email_domain,6,RING0008,1
ACC0032996,ACC0028562,device_id,2,RING0008,1
ACC0014407,ACC0002064,email_domain,7,RING0009,1
ACC0014407,ACC0023263,ip_address,7,RING0009,1
ACC0014407,ACC0007697,ip_address,14,RING0009,1
ACC0002064,ACC0023263,device_id,8,RING0009,1
ACC0002064,ACC0007697,email_domain,3,RING0009,1
ACC0023263,ACC0007697,ip_address,6,RING0009,1
ACC0021529,ACC0042892,phone,11,RING0010,1
ACC0021529,ACC0035492,email_domain,12,RING0010,1
ACC0021529,ACC0047702,phone,9,RING0010,1
ACC0021529,ACC0031599,phone,8,RING0010,1
ACC0021529,ACC0020303,email_domain,3,RING0010,1
ACC0042892,ACC0035492,email_domain,11,RING0010,1
ACC0042892,ACC0047702,ip_address,9,RING0010,1
ACC0042892,ACC0031599,device_id,13,RING0010,1
ACC0042892,ACC0020303,ip_address,4,RING0010,1
ACC0035492,ACC0047702,phone,14,RING0010,1
ACC0035492,ACC0031599,phone,6,RING0010,1
ACC0035492,ACC0020303,phone,10,RING0010,1
ACC0047702,ACC0031599,email_domain,2,RING0010,1
ACC0047702,ACC0020303,ip_address,3,RING0010,1
ACC0031599,ACC0020303,device_id,11,RING0010,1
ACC0046540,ACC0006053,phone,13,RING0011,1
ACC0046540,ACC0016450,phone,6,RING0011,1
ACC0046540,ACC0027930,device_id,12,RING0011,1
ACC0046540,ACC0045384,ip_address,5,RING0011,1
ACC0046540,ACC0031125,email_domain,6,RING0011,1
ACC0046540,ACC0002139,ip_address,7,RING0011,1
ACC0006053,ACC0016450,ip_address,2,RING0011,1
ACC0006053,ACC0027930,email_domain,6,RING0011,1
ACC0006053,ACC0045384,ip_address,4,RING0011,1
ACC0006053,ACC0031125,device_id,3,RING0011,1
ACC0006053,ACC0002139,device_id,3,RING0011,1
ACC0016450,ACC0027930,device_id,4,RING0011,1
ACC0016450,ACC0045384,phone,12,RING0011,1
ACC0016450,ACC0031125,email_domain,7,RING0011,1
ACC0016450,ACC0002139,device_id,8,RING0011,1
ACC0027930,ACC0045384,device_id,14,RING0011,1
ACC0027930,ACC0031125,ip_address,8,RING0011,1
ACC0027930,ACC0002139,ip_address,13,RING0011,1
ACC0045384,ACC0031125,phone,6,RING0011,1
ACC0045384,ACC0002139,device_id,8,RING0011,1
ACC0031125,ACC0002139,ip_address,8,RING0011,1
ACC0001723,ACC0039080,phone,13,RING0012,1
ACC0001723,ACC0037136,phone,11,RING0012,1
ACC0001723,ACC0041214,ip_address,14,RING0012,1
ACC0001723,ACC0039069,ip_address,4,RING0012,1
ACC0001723,ACC0014048,email_domain,4,RING0012,1
ACC0001723,ACC0035446,device_id,14,RING0012,1
ACC0001723,ACC0001015,email_domain,9,RING0012,1
ACC0001723,ACC0040787,ip_address,10,RING0012,1
ACC0001723,ACC0044272,phone,11,RING0012,1
ACC0039080,ACC0037136,email_domain,6,RING0012,1
ACC0039080,ACC0041214,ip_address,5,RING0012,1
ACC0039080,ACC0039069,ip_address,10,RING0012,1
ACC0039080,ACC0014048,ip_address,6,RING0012,1
ACC0039080,ACC0035446,email_domain,10,RING0012,1
ACC0039080,ACC0001015,ip_address,6,RING0012,1
ACC0039080,ACC0040787,device_id,11,RING0012,1
ACC0039080,ACC0044272,ip_address,9,RING0012,1
ACC0037136,ACC0041214,phone,9,RING0012,1
ACC0037136,ACC0039069,ip_address,7,RING0012,1
ACC0037136,ACC0014048,email_domain,7,RING0012,1
ACC0037136,ACC0035446,ip_address,10,RING0012,1
ACC0037136,ACC0001015,phone,9,RING0012,1
ACC0037136,ACC0040787,ip_address,8,RING0012,1
ACC0037136,ACC0044272,email_domain,8,RING0012,1
ACC0041214,ACC0039069,device_id,2,RING0012,1
ACC0041214,ACC0014048,device_id,2,RING0012,1
ACC0041214,ACC0035446,device_id,9,RING0012,1
ACC0041214,ACC0001015,ip_address,11,RING0012,1
ACC0041214,ACC0040787,device_id,14,RING0012,1
ACC0041214,ACC0044272,ip_address,5,RING0012,1
ACC0039069,ACC0014048,phone,11,RING0012,1
ACC0039069,ACC0035446,ip_address,14,RING0012,1
ACC0039069,ACC0001015,ip_address,8,RING0012,1
ACC0039069,ACC0040787,device_id,13,RING0012,1
ACC0039069,ACC0044272,ip_address,11,RING0012,1
ACC0014048,ACC0035446,phone,8,RING0012,1
ACC0014048,ACC0001015,ip_address,10,RING0012,1
ACC0014048,ACC0040787,ip_address,13,RING0012,1
ACC0014048,ACC0044272,ip_address,4,RING0012,1
ACC0035446,ACC0001015,device_id,12,RING0012,1
ACC0035446,ACC0040787,ip_address,4,RING0012,1
ACC0035446,ACC0044272,phone,4,RING0012,1
ACC0001015,ACC0040787,phone,7,RING0012,1
ACC0001015,ACC0044272,phone,6,RING0012,1
ACC0040787,ACC0044272,phone,3,RING0012,1
ACC0013659,ACC0041547,email_domain,14,RING0013,1
ACC0013659,ACC0023249,phone,5,RING0013,1
ACC0013659,ACC0010848,device_id,4,RING0013,1
ACC0013659,ACC0038772,email_domain,8,RING0013,1
ACC0041547,ACC0023249,ip_address,9,RING0013,1
ACC0041547,ACC0010848,phone,2,RING0013,1
ACC0041547,ACC0038772,phone,7,RING0013,1
ACC0023249,ACC0010848,ip_address,12,RING0013,1
ACC0023249,ACC0038772,phone,7,RING0013,1
ACC0010848,ACC0038772,email_domain,6,RING0013,1
ACC0047548,ACC0015674,device_id,10,RING0014,1
ACC0047548,ACC0024882,phone,3,RING0014,1
ACC0015674,ACC0024882,email_domain,5,RING0014,1
ACC0015243,ACC0018923,device_id,7,RING0015,1
ACC0015243,ACC0025913,device_id,2,RING0015,1
ACC0015243,ACC0000828,ip_address,7,RING0015,1
ACC0015243,ACC0036240,ip_address,8,RING0015,1
ACC0015243,ACC0000245,ip_address,14,RING0015,1
ACC0015243,ACC0038897,phone,2,RING0015,1
ACC0015243,ACC0028809,device_id,13,RING0015,1
ACC0015243,ACC0025275,device_id,8,RING0015,1
ACC0015243,ACC0039266,phone,7,RING0015,1
ACC0018923,ACC0025913,device_id,10,RING0015,1
ACC0018923,ACC0000828,device_id,10,RING0015,1
ACC0018923,ACC0036240,ip_address,6,RING0015,1
ACC0018923,ACC0000245,phone,9,RING0015,1
ACC0018923,ACC0038897,ip_address,6,RING0015,1
ACC0018923,ACC0028809,email_domain,14,RING0015,1
ACC0018923,ACC0025275,ip_address,3,RING0015,1
ACC0018923,ACC0039266,ip_address,10,RING0015,1
ACC0025913,ACC0000828,ip_address,5,RING0015,1
ACC0025913,ACC0036240,device_id,8,RING0015,1
ACC0025913,ACC0000245,device_id,10,RING0015,1
ACC0025913,ACC0038897,email_domain,14,RING0015,1
ACC0025913,ACC0028809,email_domain,4,RING0015,1
ACC0025913,ACC0025275,email_domain,7,RING0015,1
ACC0025913,ACC0039266,email_domain,3,RING0015,1
ACC0000828,ACC0036240,device_id,8,RING0015,1
ACC0000828,ACC0000245,device_id,14,RING0015,1
ACC0000828,ACC0038897,phone,9,RING0015,1
ACC0000828,ACC0028809,email_domain,12,RING0015,1
ACC0000828,ACC0025275,phone,8,RING0015,1
ACC0000828,ACC0039266,email_domain,7,RING0015,1
ACC0036240,ACC0000245,device_id,6,RING0015,1
ACC0036240,ACC0038897,ip_address,10,RING0015,1
ACC0036240,ACC0028809,email_domain,8,RING0015,1
ACC0036240,ACC0025275,device_id,6,RING0015,1
ACC0036240,ACC0039266,phone,13,RING0015,1
ACC0000245,ACC0038897,ip_address,6,RING0015,1
ACC0000245,ACC0028809,phone,13,RING0015,1
ACC0000245,ACC0025275,device_id,10,RING0015,1
ACC0000245,ACC0039266,device_id,2,RING0015,1
ACC0038897,ACC0028809,ip_address,8,RING0015,1
ACC0038897,ACC0025275,email_domain,4,RING0015,1
ACC0038897,ACC0039266,phone,12,RING0015,1
ACC0028809,ACC0025275,email_domain,7,RING0015,1
ACC0028809,ACC0039266,ip_address,12,RING0015,1
ACC0025275,ACC0039266,ip_address,8,RING0015,1
ACC0012642,ACC0029626,phone,2,RING0016,1
ACC0012642,ACC0040660,device_id,13,RING0016,1
ACC0012642,ACC0018707,ip_address,2,RING0016,1
ACC0012642,ACC0040582,device_id,5,RING0016,1
ACC0012642,ACC0040357,email_domain,2,RING0016,1
ACC0029626,ACC0040660,device_id,13,RING0016,1
ACC0029626,ACC0018707,device_id,10,RING0016,1
ACC0029626,ACC0040582,phone,12,RING0016,1
ACC0029626,ACC0040357,phone,11,RING0016,1
ACC0040660,ACC0018707,email_domain,3,RING0016,1
ACC0040660,ACC0040582,device_id,6,RING0016,1
ACC0040660,ACC0040357,ip_address,5,RING0016,1
ACC0018707,ACC0040582,ip_address,14,RING0016,1
ACC0018707,ACC0040357,phone,3,RING0016,1
ACC0040582,ACC0040357,email_domain,10,RING0016,1
ACC0001724,ACC0016867,device_id,12,RING0017,1
ACC0001724,ACC0040831,ip_address,3,RING0017,1
ACC0001724,ACC0016092,phone,5,RING0017,1
ACC0001724,ACC0039815,ip_address,6,RING0017,1
ACC0001724,ACC0021402,email_domain,5,RING0017,1
ACC0016867,ACC0040831,ip_address,12,RING0017,1
ACC0016867,ACC0016092,phone,12,RING0017,1
ACC0016867,ACC0039815,ip_address,3,RING0017,1
ACC0016867,ACC0021402,ip_address,2,RING0017,1
ACC0040831,ACC0016092,phone,14,RING0017,1
ACC0040831,ACC0039815,email_domain,13,RING0017,1
ACC0040831,ACC0021402,ip_address,14,RING0017,1
ACC0016092,ACC0039815,ip_address,10,RING0017,1
ACC0016092,ACC0021402,ip_address,9,RING0017,1
ACC0039815,ACC0021402,ip_address,8,RING0017,1
ACC0033815,ACC0045077,ip_address,5,RING0018,1
ACC0033815,ACC0010643,phone,14,RING0018,1
ACC0033815,ACC0036510,ip_address,6,RING0018,1
ACC0033815,ACC0018705,email_domain,7,RING0018,1
ACC0033815,ACC0038060,ip_address,8,RING0018,1
ACC0045077,ACC0010643,phone,12,RING0018,1
ACC0045077,ACC0036510,device_id,11,RING0018,1
ACC0045077,ACC0018705,ip_address,14,RING0018,1
ACC0045077,ACC0038060,email_domain,8,RING0018,1
ACC0010643,ACC0036510,device_id,14,RING0018,1
ACC0010643,ACC0018705,ip_address,9,RING0018,1
ACC0010643,ACC0038060,device_id,9,RING0018,1
ACC0036510,ACC0018705,device_id,12,RING0018,1
ACC0036510,ACC0038060,email_domain,10,RING0018,1
ACC0018705,ACC0038060,email_domain,2,RING0018,1
ACC0027204,ACC0028693,device_id,13,RING0019,1
ACC0027204,ACC0028287,email_domain,5,RING0019,1
ACC0027204,ACC0003294,phone,13,RING0019,1
ACC0027204,ACC0048850,email_domain,9,RING0019,1
ACC0028693,ACC0028287,ip_address,4,RING0019,1
ACC0028693,ACC0003294,email_domain,6,RING0019,1
ACC0028693,ACC0048850,phone,9,RING0019,1
ACC0028287,ACC0003294,ip_address,6,RING0019,1
ACC0028287,ACC0048850,ip_address,14,RING0019,1
ACC0003294,ACC0048850,phone,8,RING0019,1
ACC0030264,ACC0049444,phone,13,RING0020,1
ACC0030264,ACC0028600,ip_address,14,RING0020,1
ACC0030264,ACC0049373,email_domain,2,RING0020,1
ACC0030264,ACC0031234,phone,11,RING0020,1
ACC0030264,ACC0003986,device_id,3,RING0020,1
ACC0030264,ACC0013267,phone,2,RING0020,1
ACC0030264,ACC0024810,phone,10,RING0020,1
ACC0030264,ACC0025354,email_domain,5,RING0020,1
ACC0049444,ACC0028600,ip_address,5,RING0020,1
ACC0049444,ACC0049373,ip_address,7,RING0020,1
ACC0049444,ACC0031234,ip_address,10,RING0020,1
ACC0049444,ACC0003986,phone,7,RING0020,1
ACC0049444,ACC0013267,phone,6,RING0020,1
ACC0049444,ACC0024810,email_domain,3,RING0020,1
ACC0049444,ACC0025354,device_id,11,RING0020,1
ACC0028600,ACC0049373,ip_address,12,RING0020,1
ACC0028600,ACC0031234,email_domain,13,RING0020,1
ACC0028600,ACC0003986,phone,12,RING0020,1
ACC0028600,ACC0013267,device_id,7,RING0020,1
ACC0028600,ACC0024810,ip_address,3,RING0020,1
ACC0028600,ACC0025354,phone,3,RING0020,1
ACC0049373,ACC0031234,phone,4,RING0020,1
ACC0049373,ACC0003986,ip_address,14,RING0020,1
ACC0049373,ACC0013267,device_id,10,RING0020,1
ACC0049373,ACC0024810,ip_address,13,RING0020,1
ACC0049373,ACC0025354,email_domain,11,RING0020,1
ACC0031234,ACC0003986,device_id,11,RING0020,1
ACC0031234,ACC0013267,device_id,7,RING0020,1
ACC0031234,ACC0024810,ip_address,11,RING0020,1
ACC0031234,ACC0025354,email_domain,4,RING0020,1
ACC0003986,ACC0013267,email_domain,10,RING0020,1
ACC0003986,ACC0024810,phone,12,RING0020,1
ACC0003986,ACC0025354,email_domain,5,RING0020,1
ACC0013267,ACC0024810,device_id,12,RING0020,1
ACC0013267,ACC0025354,email_domain,12,RING0020,1
ACC0024810,ACC0025354,device_id,10,RING0020,1
ACC0029981,ACC0045789,ip_address,12,RING0021,1
ACC0029981,ACC0001833,ip_address,9,RING0021,1
ACC0045789,ACC0001833,phone,4,RING0021,1
ACC0023970,ACC0018093,email_domain,5,RING0022,1
ACC0023970,ACC0041771,email_domain,13,RING0022,1
ACC0023970,ACC0048895,email_domain,8,RING0022,1
ACC0018093,ACC0041771,ip_address,9,RING0022,1
ACC0018093,ACC0048895,ip_address,8,RING0022,1
ACC0041771,ACC0048895,phone,9,RING0022,1
ACC0046722,ACC0015795,device_id,6,RING0023,1
ACC0046722,ACC0031303,phone,11,RING0023,1
ACC0046722,ACC0034767,ip_address,4,RING0023,1
ACC0046722,ACC0021727,email_domain,9,RING0023,1
ACC0046722,ACC0019319,email_domain,14,RING0023,1
ACC0046722,ACC0031976,device_id,13,RING0023,1
ACC0015795,ACC0031303,device_id,7,RING0023,1
ACC0015795,ACC0034767,email_domain,8,RING0023,1
ACC0015795,ACC0021727,device_id,14,RING0023,1
ACC0015795,ACC0019319,ip_address,13,RING0023,1
ACC0015795,ACC0031976,ip_address,9,RING0023,1
ACC0031303,ACC0034767,phone,8,RING0023,1
ACC0031303,ACC0021727,email_domain,6,RING0023,1
ACC0031303,ACC0019319,ip_address,6,RING0023,1
ACC0031303,ACC0031976,email_domain,2,RING0023,1
ACC0034767,ACC0021727,ip_address,3,RING0023,1
ACC0034767,ACC0019319,email_domain,12,RING0023,1
ACC0034767,ACC0031976,device_id,13,RING0023,1
ACC0021727,ACC0019319,ip_address,4,RING0023,1
ACC0021727,ACC0031976,phone,6,RING0023,1
ACC0019319,ACC0031976,device_id,6,RING0023,1
ACC0023754,ACC0016557,email_domain,7,RING0024,1
ACC0023754,ACC0015127,email_domain,2,RING0024,1
ACC0023754,ACC0015700,phone,2,RING0024,1
ACC0023754,ACC0024083,email_domain,2,RING0024,1
ACC0016557,ACC0015127,email_domain,8,RING0024,1
ACC0016557,ACC0015700,device_id,7,RING0024,1
ACC0016557,ACC0024083,email_domain,4,RING0024,1
ACC0015127,ACC0015700,device_id,2,RING0024,1
ACC0015127,ACC0024083,device_id,5,RING0024,1
ACC0015700,ACC0024083,email_domain,14,RING0024,1
ACC0007605,ACC0030475,phone,12,RING0025,1
ACC0007605,ACC0020617,email_domain,13,RING0025,1
ACC0007605,ACC0042760,device_id,10,RING0025,1
ACC0007605,ACC0015282,phone,11,RING0025,1
ACC0007605,ACC0005766,phone,3,RING0025,1
ACC0007605,ACC0023163,email_domain,2,RING0025,1
ACC0007605,ACC0046266,phone,9,RING0025,1
ACC0007605,ACC0013698,phone,2,RING0025,1
ACC0030475,ACC0020617,device_id,4,RING0025,1
ACC0030475,ACC0042760,email_domain,8,RING0025,1
ACC0030475,ACC0015282,ip_address,2,RING0025,1
ACC0030475,ACC0005766,phone,3,RING0025,1
ACC0030475,ACC0023163,email_domain,8,RING0025,1
ACC0030475,ACC0046266,device_id,8,RING0025,1
ACC0030475,ACC0013698,ip_address,12,RING0025,1
ACC0020617,ACC0042760,phone,2,RING0025,1
ACC0020617,ACC0015282,phone,6,RING0025,1
ACC0020617,ACC0005766,device_id,13,RING0025,1
ACC0020617,ACC0023163,phone,10,RING0025,1
ACC0020617,ACC0046266,phone,2,RING0025,1
ACC0020617,ACC0013698,phone,13,RING0025,1
ACC0042760,ACC0015282,email_domain,9,RING0025,1
ACC0042760,ACC0005766,ip_address,13,RING0025,1
ACC0042760,ACC0023163,ip_address,13,RING0025,1
ACC0042760,ACC0046266,device_id,13,RING0025,1
ACC0042760,ACC0013698,ip_address,5,RING0025,1
ACC0015282,ACC0005766,email_domain,8,RING0025,1
ACC0015282,ACC0023163,phone,2,RING0025,1
ACC0015282,ACC0046266,ip_address,13,RING0025,1
ACC0015282,ACC0013698,phone,14,RING0025,1
ACC0005766,ACC0023163,ip_address,7,RING0025,1
ACC0005766,ACC0046266,device_id,5,RING0025,1
ACC0005766,ACC0013698,phone,12,RING0025,1
ACC0023163,ACC0046266,email_domain,14,RING0025,1
ACC0023163,ACC0013698,device_id,8,RING0025,1
ACC0046266,ACC0013698,phone,5,RING0025,1
ACC0000871,ACC0041576,email_domain,10,RING0026,1
ACC0000871,ACC0046214,phone,5,RING0026,1
ACC0000871,ACC0042268,phone,11,RING0026,1
ACC0000871,ACC0046921,ip_address,4,RING0026,1
ACC0041576,ACC0046214,ip_address,14,RING0026,1
ACC0041576,ACC0042268,ip_address,8,RING0026,1
ACC0041576,ACC0046921,phone,14,RING0026,1
ACC0046214,ACC0042268,ip_address,12,RING0026,1
ACC0046214,ACC0046921,ip_address,11,RING0026,1
ACC0042268,ACC0046921,phone,13,RING0026,1
ACC0035688,ACC0041662,phone,3,RING0027,1
ACC0035688,ACC0032307,phone,10,RING0027,1
ACC0035688,ACC0023647,email_domain,7,RING0027,1
ACC0035688,ACC0039960,phone,3,RING0027,1
ACC0041662,ACC0032307,phone,2,RING0027,1
ACC0041662,ACC0023647,ip_address,6,RING0027,1
ACC0041662,ACC0039960,email_domain,13,RING0027,1
ACC0032307,ACC0023647,phone,10,RING0027,1
